SLV spot evolve sweep (2024-01-08 -> 2026-01-08, use_rth=False, bar_size=10 mins, offline=True, base=champion, axis=exit_pivot, jobs=12, long_only=False realism=v2 spread=0.01 comm=0.005 comm_min=1 slip=0 sizing=risk_pct risk=0.01 max_notional=0.5)

=== exit_pivot: seeded exit pivot micro-grid ===
- seeds_in_file=80 selected=1 seed_top=2
- seed_path=backtests/slv/slv_exec5m_seed_v25_as_10m_full24_tod916_top80.json

exit_pivot tested=100 kept=3 rate=0.5/s
exit_pivot tested=200 kept=35 rate=0.5/s

exit_pivot (seeded exit pivot) — Top by pnl/dd
----------------------------------------------
10. tr=1708 win= 64.2% pnl=  -27949.1 dd= 30082.9 pnl/dd= -0.93 roi=-27.95% dd%= 30.08% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] [tod=9-16 ET] | max_open=2 close_eod=1 only_profit=1 | PT=0.002 SL=0.008
11. tr=1548 win= 53.0% pnl=  -27969.9 dd= 30624.1 pnl/dd= -0.91 roi=-27.97% dd%= 30.62% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] [tod=9-16 ET] | max_open=2 close_eod=1 only_profit=0 | PT=0.003 SL=0.006
12. tr=1548 win= 53.0% pnl=  -27969.9 dd= 30624.1 pnl/dd= -0.91 roi=-27.97% dd%= 30.62% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] [tod=9-16 ET] | max_open=2 close_eod=1 only_profit=1 | PT=0.003 SL=0.006
13. tr=1606 win= 78.7% pnl=  -27978.6 dd= 30597.5 pnl/dd= -0.91 roi=-27.98% dd%= 30.60% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] [tod=9-16 ET] | max_open=2 close_eod=0 only_profit=0 | PT=0.002 SL=0.012
14. tr=1575 win= 28.6% pnl=  -28001.8 dd= 32176.9 pnl/dd= -0.87 roi=-28.00% dd%= 32.18% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] [tod=9-16 ET] | max_open=2 close_eod=0 only_profit=0 | PT=0.006 SL=0.003
15. tr=1605 win= 80.1% pnl=  -28164.8 dd= 31764.8 pnl/dd= -0.89 roi=-28.16% dd%= 31.76% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] [tod=9-16 ET] | max_open=2 close_eod=0 only_profit=1 | PT=0.002 SL=0.012
16. tr=1629 win= 77.2% pnl=  -28670.4 dd= 30566.0 pnl/dd= -0.94 roi=-28.67% dd%= 30.57% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] [tod=9-16 ET] | max_open=2 close_eod=0 only_profit=1 | PT=0.002 SL=0.01
17. tr=1544 win= 59.6% pnl=  -28676.6 dd= 32492.3 pnl/dd= -0.88 roi=-28.68% dd%= 32.49% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] [tod=9-16 ET] | max_open=2 close_eod=0 only_profit=0 | PT=0.003 SL=0.006
18. tr=1596 win= 43.7% pnl=  -28786.8 dd= 33725.7 pnl/dd= -0.85 roi=-28.79% dd%= 33.73% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] [tod=9-16 ET] | max_open=2 close_eod=0 only_profit=0 | PT=0.004 SL=0.004
19. tr=1596 win= 43.9% pnl=  -28902.4 dd= 33835.7 pnl/dd= -0.85 roi=-28.90% dd%= 33.84% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] [tod=9-16 ET] | max_open=2 close_eod=0 only_profit=1 | PT=0.004 SL=0.004
20. tr=1544 win= 59.9% pnl=  -29717.2 dd= 33483.8 pnl/dd= -0.89 roi=-29.72% dd%= 33.48% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] [tod=9-16 ET] | max_open=2 close_eod=0 only_profit=1 | PT=0.003 SL=0.006
21. tr=1706 win= 72.9% pnl=  -30521.1 dd= 31849.8 pnl/dd= -0.96 roi=-30.52% dd%= 31.85% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] [tod=9-16 ET] | max_open=2 close_eod=0 only_profit=0 | PT=0.002 SL=0.008
22. tr=1945 win= 69.5% pnl=  -30676.2 dd= 32431.5 pnl/dd= -0.95 roi=-30.68% dd%= 32.43% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] [tod=9-16 ET] | max_open=2 close_eod=1 only_profit=0 | PT=0.0015 SL=0.008
23. tr=1945 win= 69.5% pnl=  -30676.2 dd= 32431.5 pnl/dd= -0.95 roi=-30.68% dd%= 32.43% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] [tod=9-16 ET] | max_open=2 close_eod=1 only_profit=1 | PT=0.0015 SL=0.008
24. tr=1862 win= 69.9% pnl=  -30745.9 dd= 31387.3 pnl/dd= -0.98 roi=-30.75% dd%= 31.39% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] [tod=9-16 ET] | max_open=2 close_eod=1 only_profit=0 | PT=0.0015 SL=0.01
25. tr=1862 win= 69.9% pnl=  -30745.9 dd= 31387.3 pnl/dd= -0.98 roi=-30.75% dd%= 31.39% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m] [tod=9-16 ET] | max_open=2 close_eod=1 only_profit=1 | PT=0.0015 SL=0.01
Wrote backtests/slv/slv_exec5m_v34_exit_pivot_seedv25_tod916_10m_2y_milestones_20260206_214157.json (76 eligible presets).
