SLV spot evolve sweep (2024-01-08 -> 2026-01-08, use_rth=True, bar_size=10 mins, offline=True, base=champion, axis=exit_pivot, jobs=12, long_only=False realism=v2 spread=0.01 comm=0.005 comm_min=1 slip=0 sizing=risk_pct risk=0.01 max_notional=0.5)

=== exit_pivot: seeded exit pivot micro-grid ===
- seeds_in_file=80 selected=1 seed_top=2
- seed_path=backtests/slv/slv_exec5m_seed_v25_as_10m_rth_top80.json

exit_pivot tested=100 kept=74 rate=1.6/s
exit_pivot tested=200 kept=153 rate=1.6/s

exit_pivot (seeded exit pivot) — Top by pnl/dd
----------------------------------------------
 3. tr=1209 win= 37.0% pnl=    6653.7 dd= 22386.0 pnl/dd=  0.30 roi=  6.65% dd%= 22.39% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m rth] | max_open=2 close_eod=1 only_profit=0 | PT=None SL=0.006
 4. tr=1209 win= 37.0% pnl=    6632.9 dd= 22400.9 pnl/dd=  0.30 roi=  6.63% dd%= 22.40% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m rth] | max_open=2 close_eod=1 only_profit=1 | PT=None SL=0.006
 5. tr=1524 win= 29.8% pnl=   -2529.8 dd= 25399.7 pnl/dd= -0.10 roi= -2.53% dd%= 25.40% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m rth] | max_open=2 close_eod=1 only_profit=0 | PT=None SL=0.004
 6. tr=1524 win= 29.8% pnl=   -2529.8 dd= 25399.7 pnl/dd= -0.10 roi= -2.53% dd%= 25.40% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m rth] | max_open=2 close_eod=1 only_profit=1 | PT=None SL=0.004
 7. tr=1016 win= 24.0% pnl=   -5834.9 dd= 15533.2 pnl/dd= -0.38 roi= -5.83% dd%= 15.53% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m rth] | max_open=1 close_eod=1 only_profit=0 | PT=None SL=0.003
 8. tr=1016 win= 24.0% pnl=   -5834.9 dd= 15533.2 pnl/dd= -0.38 roi= -5.83% dd%= 15.53% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m rth] | max_open=1 close_eod=1 only_profit=1 | PT=None SL=0.003
 9. tr=1611 win= 53.8% pnl=   -6377.2 dd= 21349.8 pnl/dd= -0.30 roi= -6.38% dd%= 21.35% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m rth] | max_open=2 close_eod=1 only_profit=0 | PT=0.006 SL=0.012
10. tr=1609 win= 53.9% pnl=   -6455.8 dd= 21411.6 pnl/dd= -0.30 roi= -6.46% dd%= 21.41% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m rth] | max_open=2 close_eod=1 only_profit=1 | PT=0.006 SL=0.012
11. tr=1808 win= 25.2% pnl=   -9165.5 dd= 26453.9 pnl/dd= -0.35 roi= -9.17% dd%= 26.45% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m rth] | max_open=2 close_eod=1 only_profit=0 | PT=None SL=0.003
12. tr=1808 win= 25.2% pnl=   -9165.5 dd= 26453.9 pnl/dd= -0.35 roi= -9.17% dd%= 26.45% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m rth] | max_open=2 close_eod=1 only_profit=1 | PT=None SL=0.003
13. tr=1725 win= 52.7% pnl=  -10708.0 dd= 22022.0 pnl/dd= -0.49 roi=-10.71% dd%= 22.02% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m rth] | max_open=2 close_eod=1 only_profit=0 | PT=0.006 SL=0.01
14. tr=1725 win= 52.7% pnl=  -10723.7 dd= 22036.2 pnl/dd= -0.49 roi=-10.72% dd%= 22.04% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m rth] | max_open=2 close_eod=1 only_profit=1 | PT=0.006 SL=0.01
15. tr=1052 win= 50.2% pnl=  -13214.2 dd= 17111.5 pnl/dd= -0.77 roi=-13.21% dd%= 17.11% Spot (SLV) KINGMAKER #13 roi/dd=3.76 roi=245.9% dd%=65.4% win=20.6% tr=4169 pnl=245897.3 [seed=v25→10m rth] | max_open=1 close_eod=1 only_profit=0 | PT=0.006 SL=0.008
